X,Y,OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed
-10846323.3035,4556268.4434,69633,504626,US-7289,closed,Heath Airport,37.83589,-97.43418,1356,NA,US,US-KS,Valley Center,no,,,,,,,,,,,,,
-10839844.5091,4560503.4925,69634,504627,US-7290,small_airport,Harrison Airport,37.86593,-97.37598,1386,NA,US,US-KS,Valley Center,no,,,,,,,,,,,,,
-10832095.5593,4562408.6996,69635,504628,US-7291,small_airport,Fiscus Airport,37.87944,-97.30637,1460,NA,US,US-KS,Valley Center,no,,,,,,,,,,,,,
-10866773.8071,4521420.1282,69636,504631,US-7293,small_airport,South Ranch Airport,37.58824,-97.61789,1396,NA,US,US-KS,Goddard,no,,,,,,,,,,,,,
-10808085.0584,4528549.1765,69637,504632,US-7294,closed,Trabue Airport,37.63897,-97.09068,1315,NA,US,US-KS,Andover,no,,,,,,,,,,,,,
-10612884.1049,4752680.6686,69638,504634,US-7295,closed,Shomin Airport,39.21615,-95.33716,1079,NA,US,US-KS,Oskaloosa,no,,,,,,,,,,,,,
-8553759.6163,4945775.5839,69639,504635,US-7296,small_airport,Elizabethville Airport,40.54716,-76.83973,664,NA,US,US-PA,Elizabethville,no,,,,,,,,,,,,,
-8467539.3311,4966791.2392,69640,504636,US-7297,small_airport,Neon Airport,40.69046,-76.0652,915,NA,US,US-PA,New Ringgold,no,,,,,,,,,,,,,
-8669124.4574,4912221.932,69641,504637,US-7298,closed,Mount Union Airport,40.31773,-77.87607,567,NA,US,US-PA,Shirleysburg,no,,,,,,,,,,,,,
-9109688.5967,4451599.3339,69642,504639,US-7299,closed,Richlands Municipal Airport,37.089572,-81.833725,1918,NA,US,US-VA,Richlands,no,,,,,,,,,,,,,
-8679014.0809,4946218.0174,69643,504653,US-7300,closed,Feltenberger Airport,40.55018,-77.96491,708,NA,US,US-PA,Huntingdon,no,,,,,,,,,,,,,
-9021145.9643,3347533.547,69644,504672,US-7302,seaplane_base,Florida Prime Ranch Seaplane Base,28.778889,-81.038333,42,NA,US,US-FL,Osteen,no,5FL9,,5FL9,,,,,,,,,,
-12142173.1243,5950500.74,69645,7896,US-7307,closed,Holland Ranch Airport,47.051601,-109.074997,4050,NA,US,US-MT,Lewistown,no,,,,,,14MT,,,,,,,
-11870708.6348,4174233.086,69646,504759,US-7309,heliport,Milne Stadium Heliport,35.07614,-106.63639,5062,NA,US,US-NM,Albuquerque,no,,,,,,,,,,,,,
-11395680.5377,3971665.5733,69647,504760,US-7310,heliport,Covenant Health Levelland Heliport,33.57342,-102.36914,3807,NA,US,US-TX,Levelland,no,,,,,,,,,,,,,
-10754063.9359,4300443.8715,69648,504764,US-7311,heliport,Drumright Regional Hospital Heliport,35.99871,-96.6054,925,NA,US,US-OK,Drumright,no,,,,,,,,,,,,,
-10796866.2801,4298183.4012,69649,504765,US-7312,small_airport,Sewell Airport,35.98228,-96.9899,997,NA,US,US-OK,Perkins,no,,,,,,,,,,,,,
-11438962.669,3991190.2612,69650,504766,US-7313,heliport,Cochran Memorial Hospital Heliport,33.71943,-102.75795,3767,NA,US,US-TX,Morton,no,,,,,,,,,,,,,
-10399548.0931,4526742.9158,69651,504767,US-7314,heliport,Citizens Memorial Hospital Heliport,37.62612,-93.42073,1062,NA,US,US-MO,Bolivar,no,,,,,,,,,,,,,
-9233089.0352,5274998.4788,69652,504768,US-7315,small_airport,Kunstman Airport,42.75661,-82.94225,681,NA,US,US-MI,Ray,no,,,,,,,,,,,,,
-12195973.055,4661065.9409,69653,504794,US-7316,heliport,Moab Regional Hospital Heliport,38.575635,-109.55829,4000,NA,US,US-UT,Moab,no,,,,,,,,,,,,,
-11309281.2508,5546394.4241,69654,24550,US-7318,closed,Staben Strip,44.520802,-101.593002,2227,NA,US,US-SD,Philip,no,,,,,,SD73,,,,,,,
-11467910.9686,5465488.7639,69655,24554,US-7319,closed,Barber Strip,44.000301,-103.017997,3200,NA,US,US-SD,Rapid City,no,,,,,,SD77,,,,,,,
-10922712.8531,5506667.9064,69656,24561,US-7320,closed,Marone Airport,44.2658,-98.120399,1285,NA,US,US-SD,Huron,no,,,,,,SD84,,,,,,,
-11043728.0489,5430010.2092,69657,24564,US-7321,closed,Priebe Landing Strip,43.770599,-99.207497,1628,NA,US,US-SD,Pukwana,no,,,,,,SD89,,,,,,,
-11112700.8262,3316186.029,69658,504850,US-7322,heliport,US Border Patrol Carrizo Springs Heliport,28.53178,-99.82709,585,NA,US,US-TX,Carrizo Springs,no,,,,,,,,,,,,,
-11072487.7733,3536121.2863,69659,504853,US-7323,small_airport,Durbin Ranch Airport,30.25307,-99.46585,2253,NA,US,US-TX,Mountain Home,no,,,,,,,,,,,,,
-13369862.6889,4016601.5566,69660,504858,US-7324,closed,South Point Airstrip,33.90909,-120.10352,197,NA,US,US-CA,Santa Rosa Island,no,,,,,,,,,,,,,
-9827398.1931,5208502.1267,69661,504859,US-7325,heliport,LifeNet McHenry Heliport,42.31646,-88.28102,811,NA,US,US-IL,McHenry,no,,,,,,,,,,,,,
-10135351.3192,3553463.6891,69662,504894,US-7326,closed,Southern Helicopters Heliport,30.38755,-91.04741,28,NA,US,US-LA,Baton Rouge,no,,,,,,,,,,,,,
-10626325.9334,3960661.4956,69663,504895,US-7327,small_airport,Thompson Airport,33.49102,-95.45791,463,NA,US,US-TX,Paris,no,,,,,,,,,,,,,
-10619154.7318,3982915.5379,69664,504896,US-7328,small_airport,Unruh Airport,33.65758,-95.39349,575,NA,US,US-TX,Blossom,no,,,,,,,,,,,,,
-9832659.1522,5129286.0336,69665,504898,US-7329,heliport,Avantara Aurora Heliport,41.78807,-88.32828,689,NA,US,US-IL,Aurora,no,,,,,,,,,,,,,
-11104044.6226,4028314.6162,69666,504899,US-7330,small_airport,Baize Ranch Airport,33.99637,-99.74933,1535,NA,US,US-TX,Crowell,no,,,,,,,,,,,,,
